Quartile,Ident,Team,RoleAgent
Q1,627747,GP test,Agent
Q2,3884710,GP test,Agent
Q3,3893577,GP test,Agent
Q4,4563230,GP test,Agent
Q1,4563247,GP test,Agent
Q2,4563249,GP test,Agent
Q3,4565580,GP test,Agent
Q4,4565724,GP test,Agent
Q1,4565738,GP test,Agent
Q2,4565745,GP test,Agent
Q3,4565826,GP test,Agent
Q4,4565849,GP test,Agent
Q1,3698585,GP test,Agent
Q2,4025051,GP test,Agent
Q3,4173742,GP test,Agent
Q4,4239869,GP test,Agent
Q1,4432762,GP test,Agent
Q2,4506164,GP test,Agent
Q3,4512485,GP test,Agent
Q4,4516847,GP test,Agent
Q1,4512812,GP test,Agent
